pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
205511,NEWTOWNS13 KV   LOAD1,BUS,LOAD,PECO,13 KV,6/30/2000 0:00,12/31/9999 0:00
205512,CENTER  13 KV   LOAD1,BUS,LOAD,BGE,13 KV,6/30/2000 0:00,12/31/9999 0:00
205513,CENTER  13 KV   LOAD2,BUS,LOAD,BGE,13 KV,6/30/2000 0:00,12/31/9999 0:00
205514,GREE BC 13 KV   LOAD1,BUS,LOAD,BGE,13 KV,6/30/2000 0:00,12/31/9999 0:00
205515,CHESTJCT35 KV   LOAD1,BUS,LOAD,JCPL,35 KV,6/30/2000 0:00,12/31/9999 0:00
205516,EFLEMING35 KV   LOAD1,BUS,LOAD,JCPL,35 KV,6/30/2000 0:00,12/31/9999 0:00
205517,KITTATIN34 KV   LOAD1,BUS,LOAD,JCPL,34 KV,6/30/2000 0:00,12/31/9999 0:00
205518,MONTVILL35 KV   LOAD1,BUS,LOAD,JCPL,35 KV,6/30/2000 0:00,12/31/9999 0:00
205519,READINGT35 KV   LOAD1,BUS,LOAD,JCPL,35 KV,6/30/2000 0:00,12/31/9999 0:00
205525,FAIRVWME115 KV  1 BANK,BUS,LOAD,METED,115 KV,6/30/2000 0:00,12/31/9999 0:00
205526,GITTSRUN115 KV  2 BANK,BUS,LOAD,METED,115 KV,6/30/2000 0:00,12/31/9999 0:00
205527,GITTSRUN115 KV  3 BANK,BUS,LOAD,METED,115 KV,6/30/2000 0:00,12/31/9999 0:00
205528,ONTARIO 69 KV   LOAD2,BUS,LOAD,AECO,69 KV,6/30/2000 0:00,12/31/9999 0:00
205534,GLOUCEST26 KV   CCRF,BUS,GEN,PSEG,26 KV,6/30/2000 0:00,12/31/9999 0:00
206839,CAMDENGEN,AGGREGATE,AGGREGATE,,,3/7/2018 0:00,12/31/9999 0:00
254698,NLEBNON,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
292885,BAYVIEW,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
292899,CRISFIELD,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
338268,PEPCO DC,AGGREGATE,AGGREGATE,,,8/19/2000 0:00,12/31/9999 0:00
338269,PEPCO MD,AGGREGATE,AGGREGATE,,,8/19/2000 0:00,12/31/9999 0:00
338270,PEPCO SMECO,AGGREGATE,AGGREGATE,,,8/19/2000 0:00,12/31/9999 0:00
466543,NEWCHURCH CT1-2,AGGREGATE,AGGREGATE,,,1/1/2000 0:00,12/31/9999 0:00
510393,CHESTER 69 KV   LOAD2,BUS,LOAD,PECO,69 KV,10/19/2000 0:00,12/31/9999 0:00
510394,CRESCENT13 KV   LOAD1,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510395,CRESCENT13 KV   LOAD2,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510396,CRESCENT13 KV   LOAD3,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510398,HEATON  13 KV   LOAD1,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510399,PLYMOUTH13 KV   LOAD1,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510400,UNIVERSI13 KV   LOAD1,BUS,LOAD,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510404,BUFFALRD35 KV   LOAD1,BUS,LOAD,PENELEC,35 KV,10/19/2000 0:00,12/31/9999 0:00
510405,BUFFALRD35 KV   LOAD2,BUS,LOAD,PENELEC,35 KV,10/19/2000 0:00,12/31/9999 0:00
510408,GE      35 KV   LOAD1,BUS,LOAD,PENELEC,35 KV,10/19/2000 0:00,12/31/9999 0:00
510409,ABSECON 69 KV   LOAD1,BUS,LOAD,AECO,69 KV,10/19/2000 0:00,12/31/9999 0:00
510410,MOTTS   69 KV   5TX,BUS,LOAD,AECO,69 KV,10/19/2000 0:00,12/31/9999 0:00
510412,MOTTS   69 KV   3TX,BUS,LOAD,AECO,69 KV,10/19/2000 0:00,12/31/9999 0:00
510414,BASINRD 69 KV   6810 LD,BUS,LOAD,DPL,69 KV,10/19/2000 0:00,12/31/9999 0:00
510415,BASINRD 138 KV  T2,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510418,CHR138  12 KV   1A LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510419,CHR138  12 KV   1B LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510420,CHR138  12 KV   2A LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510421,CHR138  12 KV   2B LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510422,CHR138  12 KV   3A LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510423,CHR138  12 KV   3B LOAD,BUS,LOAD,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
510424,CITYNEWC138 KV  LOAD1,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510426,HARESCOR138 KV  T1,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510431,REYBOLD 138 KV  T1,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510432,REYBOLD 138 KV  T2,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510434,SUNSETLA138 KV  T1,BUS,LOAD,DPL,138 KV,10/19/2000 0:00,12/31/9999 0:00
510435,CHESTER 13 KV   UNIT 7,BUS,GEN,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510436,CHESTER 13 KV   UNIT 8,BUS,GEN,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510437,CHESTER 13 KV   UNIT 9,BUS,GEN,PECO,13 KV,10/19/2000 0:00,12/31/9999 0:00
510438,GE      35 KV   DIESEL,BUS,GEN,PENELEC,35 KV,10/19/2000 0:00,12/31/9999 0:00
510439,GE      35 KV   STEAM,BUS,GEN,PENELEC,35 KV,10/19/2000 0:00,12/31/9999 0:00
510440,CHR138  12 KV   G11,BUS,GEN,DPL,12 KV,10/19/2000 0:00,12/31/9999 0:00
